Region,season,year,Metrics,values
Western North Island,Autumn,2007,Number_MHW_days,8.142857143
Western North Island,Autumn,2007,Nevents,0.904761905
Western North Island,Autumn,2007,Mean_Intensity,0.971502976
Western North Island,Autumn,2007,Maximum_Intensity,1.174549816
Western North Island,Autumn,2007,Cumulative_Intensity,8.059981239
Western North Island,Autumn,2008,Number_MHW_days,22.38095238
Western North Island,Autumn,2008,Nevents,1.380952381
Western North Island,Autumn,2008,Mean_Intensity,1.33559587
Western North Island,Autumn,2008,Maximum_Intensity,1.694723791
Western North Island,Autumn,2008,Cumulative_Intensity,30.81728945
Western North Island,Autumn,2009,Number_MHW_days,0
Western North Island,Autumn,2009,Nevents,0
Western North Island,Autumn,2009,Mean_Intensity,0
Western North Island,Autumn,2009,Maximum_Intensity,0
Western North Island,Autumn,2009,Cumulative_Intensity,0
Western North Island,Autumn,2010,Number_MHW_days,0
Western North Island,Autumn,2010,Nevents,0
Western North Island,Autumn,2010,Mean_Intensity,0
Western North Island,Autumn,2010,Maximum_Intensity,0
Western North Island,Autumn,2010,Cumulative_Intensity,0
Western North Island,Autumn,2011,Number_MHW_days,1.095238095
Western North Island,Autumn,2011,Nevents,0.19047619
Western North Island,Autumn,2011,Mean_Intensity,1.175346652
Western North Island,Autumn,2011,Maximum_Intensity,1.381574638
Western North Island,Autumn,2011,Cumulative_Intensity,1.276861897
Western North Island,Autumn,2012,Number_MHW_days,0
Western North Island,Autumn,2012,Nevents,0
Western North Island,Autumn,2012,Mean_Intensity,0
Western North Island,Autumn,2012,Maximum_Intensity,0
Western North Island,Autumn,2012,Cumulative_Intensity,0
Western North Island,Autumn,2013,Number_MHW_days,34.52380952
Western North Island,Autumn,2013,Nevents,2.428571429
Western North Island,Autumn,2013,Mean_Intensity,1.175222246
Western North Island,Autumn,2013,Maximum_Intensity,1.481014144
Western North Island,Autumn,2013,Cumulative_Intensity,40.88814698
Western North Island,Autumn,2014,Number_MHW_days,13.95238095
Western North Island,Autumn,2014,Nevents,1.238095238
Western North Island,Autumn,2014,Mean_Intensity,1.04803995
