ECOREGION,season,year,Metrics,values
Kermadec Island,Autumn,2021,Maximum_Intensity,0
Kermadec Island,Autumn,2021,Cumulative_Intensity,0
Kermadec Island,Winter,1982,Number_MHW_days,0
Kermadec Island,Winter,1982,Nevents,0
Kermadec Island,Winter,1982,Mean_Intensity,0
Kermadec Island,Winter,1982,Maximum_Intensity,0
Kermadec Island,Winter,1982,Cumulative_Intensity,0
Kermadec Island,Winter,1983,Number_MHW_days,0
Kermadec Island,Winter,1983,Nevents,0
Kermadec Island,Winter,1983,Mean_Intensity,0
Kermadec Island,Winter,1983,Maximum_Intensity,0
Kermadec Island,Winter,1983,Cumulative_Intensity,0
Kermadec Island,Winter,1984,Number_MHW_days,1.3333333333333333
Kermadec Island,Winter,1984,Nevents,0.16666666666666666
Kermadec Island,Winter,1984,Mean_Intensity,1.109147452364835
Kermadec Island,Winter,1984,Maximum_Intensity,1.2579004196166998
Kermadec Island,Winter,1984,Cumulative_Intensity,1.4842668128967287
Kermadec Island,Winter,1985,Number_MHW_days,0
Kermadec Island,Winter,1985,Nevents,0
Kermadec Island,Winter,1985,Mean_Intensity,0
Kermadec Island,Winter,1985,Maximum_Intensity,0
Kermadec Island,Winter,1985,Cumulative_Intensity,0
Kermadec Island,Winter,1986,Number_MHW_days,0
Kermadec Island,Winter,1986,Nevents,0
Kermadec Island,Winter,1986,Mean_Intensity,0
Kermadec Island,Winter,1986,Maximum_Intensity,0
Kermadec Island,Winter,1986,Cumulative_Intensity,0
Kermadec Island,Winter,1987,Number_MHW_days,0
Kermadec Island,Winter,1987,Nevents,0
Kermadec Island,Winter,1987,Mean_Intensity,0
Kermadec Island,Winter,1987,Maximum_Intensity,0
Kermadec Island,Winter,1987,Cumulative_Intensity,0
Kermadec Island,Winter,1988,Number_MHW_days,25.416666666666668
Kermadec Island,Winter,1988,Nevents,1.8333333333333333
Kermadec Island,Winter,1988,Mean_Intensity,1.349782871751538
Kermadec Island,Winter,1988,Maximum_Intensity,1.6743726509787826
Kermadec Island,Winter,1988,Cumulative_Intensity,34.93964218800863
Kermadec Island,Winter,1989,Number_MHW_days,0
Kermadec Island,Winter,1989,Nevents,0
Kermadec Island,Winter,1989,Mean_Intensity,0
Kermadec Island,Winter,1989,Maximum_Intensity,0
Kermadec Island,Winter,1989,Cumulative_Intensity,0
Kermadec Island,Winter,1990,Number_MHW_days,0
Kermadec Island,Winter,1990,Nevents,0
Kermadec Island,Winter,1990,Mean_Intensity,0
Kermadec Island,Winter,1990,Maximum_Intensity,0
Kermadec Island,Winter,1990,Cumulative_Intensity,0
